provider,category,model_id,status
Anthropic,generation,claude-opus-4-6,latest
Anthropic,generation,claude-sonnet-4-6,latest
Anthropic,generation,claude-sonnet-4-5,available
Anthropic,generation,claude-haiku-4-5,available
Anthropic,generation,claude-opus-4-5,available
Anthropic,generation,claude-opus-4-1,available
Anthropic,generation,claude-sonnet-4-0,available
Anthropic,generation,claude-opus-4-0,available
Google,generation,gemini-3.1-pro-preview,latest
Google,generation,gemini-3.1-flash-lite-preview,latest
Google,generation,gemini-3-flash-preview,available
Google,generation,gemini-2.5-pro,available
Google,generation,gemini-2.5-flash,available
Google,generation,gemini-2.5-flash-lite,available
OpenAI,generation,gpt-5.4-pro,latest
OpenAI,generation,gpt-5.4,latest
OpenAI,generation,gpt-5.4-mini,latest
OpenAI,generation,gpt-5.4-nano,latest
OpenAI,generation,gpt-5.2-pro,available
OpenAI,generation,gpt-5.2,available
OpenAI,generation,gpt-5.1,available
OpenAI,generation,gpt-5-pro,available
OpenAI,generation,gpt-5,available
OpenAI,generation,gpt-5-mini,available
OpenAI,generation,gpt-5-nano,available
OpenAI,generation,gpt-4.1,available
OpenAI,generation,gpt-4.1-mini,available
OpenAI,generation,gpt-4.1-nano,available
OpenAI,generation,gpt-4o,available
OpenAI,generation,gpt-4o-mini,available
OpenAI,generation,o4-mini,available
OpenAI,generation,o4-mini-2025-04-16,available
OpenAI,generation,o3-pro,available
OpenAI,generation,o3,available
OpenAI,generation,o3-2025-04-16,available
OpenAI,generation,o3-mini,available
OpenAI,generation,o3-mini-2025-01-31,available
OpenAI,generation,o1-pro,available
OpenAI,generation,o1-pro-2025-03-19,available
OpenAI,generation,o1,available
OpenAI,generation,o1-2024-12-17,available
Groq,generation,groq/compound,available
Groq,generation,groq/compound-mini,available
Groq,generation,llama-3.1-8b-instant,available
Groq,generation,llama-3.3-70b-versatile,available
Groq,generation,meta-llama/llama-4-scout-17b-16e-instruct,available
Groq,generation,openai/gpt-oss-120b,available
Groq,generation,openai/gpt-oss-20b,available
Groq,generation,qwen/qwen3-32b,available
OpenAI,embedding,text-embedding-3-large,available
OpenAI,embedding,text-embedding-3-small,available
OpenAI,embedding,text-embedding-ada-002,available
Cohere,reranking,rerank-english-v3.0,available
Cohere,reranking,rerank-multilingual-v3.0,available
